# phi(deg) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
7.500000 1.177763 0.144072 0.182755 6.535 -0.009177 0.270453
22.500000 1.177763 0.144072 0.182755 6.535 0.131116 0.207280
37.500000 1.177763 0.144072 0.182755 6.535 0.199551 0.135242
52.500000 1.177763 0.144072 0.182755 6.535 0.252769 0.088778
69.000000 1.177763 0.144072 0.182755 6.535 0.275985 0.034805
87.000000 1.177763 0.144072 0.182755 6.535 0.274149 0.037389
105.000000 1.177763 0.144072 0.182755 6.535 0.241570 0.034839
123.000000 1.177763 0.144072 0.182755 6.535 0.235288 0.039141
144.000000 1.177763 0.144072 0.182755 6.535 0.112676 0.034456
168.000000 1.177763 0.144072 0.182755 6.535 0.028784 0.038374
192.000000 1.177763 0.144072 0.182755 6.535 -0.057827 0.035802
216.000000 1.177763 0.144072 0.182755 6.535 -0.113593 0.026850
237.000000 1.177763 0.144072 0.182755 6.535 -0.228209 0.032346
255.000000 1.177763 0.144072 0.182755 6.535 -0.247904 0.037505
273.000000 1.177763 0.144072 0.182755 6.535 -0.250202 0.042064
291.000000 1.177763 0.144072 0.182755 6.535 -0.292569 0.062573
307.500000 1.177763 0.144072 0.182755 6.535 -0.259540 0.106624
322.500000 1.177763 0.144072 0.182755 6.535 -0.212949 0.033604
337.500000 1.177763 0.144072 0.182755 6.535 -0.139185 0.368759
22.500000 1.181436 0.144833 0.307812 6.535 0.074628 0.255959
37.500000 1.181436 0.144833 0.307812 6.535 0.185568 0.085188
52.500000 1.181436 0.144833 0.307812 6.535 0.238585 0.155119
69.000000 1.181436 0.144833 0.307812 6.535 0.301860 0.099611
87.000000 1.181436 0.144833 0.307812 6.535 0.242386 0.041053
105.000000 1.181436 0.144833 0.307812 6.535 0.232207 0.035377
123.000000 1.181436 0.144833 0.307812 6.535 0.212906 0.042100
144.000000 1.181436 0.144833 0.307812 6.535 0.101372 0.040149
168.000000 1.181436 0.144833 0.307812 6.535 0.045948 0.040590
192.000000 1.181436 0.144833 0.307812 6.535 -0.028372 0.037304
216.000000 1.181436 0.144833 0.307812 6.535 -0.082851 0.032423
237.000000 1.181436 0.144833 0.307812 6.535 -0.196150 0.040901
255.000000 1.181436 0.144833 0.307812 6.535 -0.212990 0.041638
